epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3314,2.69109,3.65693,1.84104,0,0,0,0,3.30607,4.10538,3.2395,0,0,0
2,21.2245,2.84253,3.7622,2.03846,0,0,0,0,3.30607,4.10538,3.2395,0.000661167,0.000661167,0.000661167
3,25.2869,2.45251,3.65697,1.90062,0,0,0,0,3.30607,4.10538,3.2395,0.00131133,0.00131133,0.00131133
4,29.1537,2.92267,3.62287,2.0982,0,0,0,0,3.30607,4.10538,3.2395,0.0019505,0.0019505,0.0019505
5,32.8664,2.80553,3.78194,1.86605,0,0,0,0,3.30607,4.10538,3.2395,0.001934,0.001934,0.001934
6,36.6894,2.77941,3.68021,1.85122,0,0,0,0,3.30607,4.10538,3.2395,0.0019175,0.0019175,0.0019175
7,40.7855,2.99197,3.83322,1.99658,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.001901,0.001901,0.001901
8,44.4687,2.57083,2.82076,2.28614,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.0018845,0.0018845,0.0018845
9,48.6035,2.44781,2.80585,1.79595,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.001868,0.001868,0.001868
10,53.1545,3.06519,2.78512,2.08424,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.0018515,0.0018515,0.0018515
11,56.9746,2.54149,2.74967,2.07386,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.001835,0.001835,0.001835
12,61.6479,2.56957,2.77813,1.94793,0.00353,0.5,0.00175,0.00017,3.24191,3.97356,3.51355,0.0018185,0.0018185,0.0018185
13,67.2938,2.0507,2.82765,1.59201,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.001802,0.001802,0.001802
14,71.8146,2.73456,3.53613,2.00194,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.0017855,0.0017855,0.0017855
15,76.0711,1.94795,2.24874,1.60191,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.001769,0.001769,0.001769
16,80.5349,2.49507,3.23908,2.17519,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.0017525,0.0017525,0.0017525
17,85.0623,3.26848,2.29961,2.07485,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.001736,0.001736,0.001736
18,90.0069,2.39516,5.86045,2.17929,0.00833,1,0.00843,0.00422,2.19751,3.84332,2.06823,0.0017195,0.0017195,0.0017195
19,94.7025,2.32474,3.5193,1.99939,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.001703,0.001703,0.001703
20,98.246,1.87126,2.35391,1.54313,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.0016865,0.0016865,0.0016865
21,102.118,1.99888,2.49338,1.62417,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.00167,0.00167,0.00167
22,107.702,1.94041,2.30013,1.52147,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.0016535,0.0016535,0.0016535
23,112.405,2.37851,2.40481,1.78152,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.001637,0.001637,0.001637
24,116.144,2.02995,2.46276,1.58378,0.00685,1,0.00765,0.00343,1.6417,3.79472,1.83555,0.0016205,0.0016205,0.0016205
25,121.243,2.01215,2.60154,1.63197,0.00667,1,0.01382,0.00531,1.79375,3.63099,1.79924,0.001604,0.001604,0.001604
26,126.76,1.93841,2.12711,1.58522,0.00667,1,0.01382,0.00531,1.79375,3.63099,1.79924,0.0015875,0.0015875,0.0015875
27,133.325,2.04774,1.95743,1.6551,0.00667,1,0.01382,0.00531,1.79375,3.63099,1.79924,0.001571,0.001571,0.001571
28,138.695,2.30722,2.11886,1.63019,0.00667,1,0.01382,0.00531,1.79375,3.63099,1.79924,0.0015545,0.0015545,0.0015545
29,142.999,1.87528,2.15785,1.60258,0.00667,1,0.01382,0.00531,1.79375,3.63099,1.79924,0.001538,0.001538,0.001538
